Recording Name,Subject,Metric,Value,SubjectID,Block,Module
p01-r1,被试001,SDSD(ms),19.18647491078119,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,pNN50(%),2.099236641221374,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,pNN20(%),24.80916030534351,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Power(ms²),22.8879544594301,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Power Percent(%),2.050026779589583,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Peak(Hz),0.0029296875,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Power(ms²),349.1574575958443,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Power Percent(%),31.27331189135535,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Peak(Hz),0.0263671875,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Power(ms²),562.4785130342494,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Power Percent(%),50.38003796747554,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Power Norm.,0.7555872919138185,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Peak(Hz),0.0400390625,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
